skills,profession
"Самомотивация, Проведение презентаций, Ответственность, JIRA, Определение MVP",Продуктовый менеджер (IT)
"Брендинг, InDesign, Adobe XD, Ведение социальных сетей, Основы анимации, Photoshop, Дизайн UI/UX, Illustrator, Постановка целей, Клиентоориентированность, Прототипирование, Теория цвета, Визуальная коммуникация",Графический дизайнер
"Координация мероприятий, Лидерство, Постановка целей, Управление рисками, Управление сроками",Руководитель проектов
"Работа под давлением, PostgreSQL, Навыки исследования, MongoDB, Node.js, Архитектура бэкенда, Docker, Соблюдение сроков, REST API, Express.js, Java",Бэкенд-разработчик
"Выпечка, Планирование меню, Разработка рецептов, Проведение презентаций, Координация команды",Повар
"Оценка физического состояния, Манипулятивные техники, Работа с пожилыми пациентами, Консультирование пациентов, Управление болью, Обратная связь сотрудникам, Проведение физиопроцедур, Аналитическое мышление, Документирование прогресса",Физиотерапевт
"Работа в команде, Тестирование оборудования, Обновление систем, Аналитика запросов, Публичные выступления, Документирование решений, Координация мероприятий, Управление приоритетами, Решение инцидентов, Работа с тикет-системами, Коммуникация с клиентами, Работа под давлением, Удаленная помощь",Инженер технической поддержки
"Монтаж строительных лесов, Каркасное строительство, Ответственность, Работа в международной среде, Бетонные работы, Поддержание чистоты на рабочем месте",Строитель
"Персональный тренинг, Работа с офисной техникой, Контроль веса, Групповые тренировки, Многозадачность, Профилактика травм, Обучение здоровому образу жизни",Фитнес-тренер
"Массаж, Документирование прогресса, Участие в мозговых штурмах, Проведение физиопроцедур, Навыки исследования, Манипулятивные техники, Оценка физического состояния",Физиотерапевт
"Участие в мозговых штурмах, Статистика, Визуализация данных, Очистка данных, Отслеживание KPI",Аналитик данных
"Android Studio, Копирайтинг, Push-уведомления, Firebase, Xcode, React Native",Мобильный разработчик
"Проектирование баз данных, Работа под давлением, Apache Spark, Разработка новых идей, Kafka, Хранилища данных",Инженер данных
"Плотницкие работы, Монтаж строительных лесов, Основы сварки, Монтаж гипсокартона, Каркасное строительство, Тайм-менеджмент, Разработка новых идей",Строитель
"Методы консультирования, Разработка новых идей, Ведение социальных сетей, Обратная связь сотрудникам, Кризисное вмешательство",Психолог
"Поддержка психического здоровья, Умение работать удаленно, Уход за пациентами, Клинические процедуры, Педиатрический уход",Медсестра
"Постановка целей, Интерпретация рентгеновских снимков, Экстренная помощь животным, Уход за животными, Соблюдение ветеринарных стандартов, Вакцинация, Лидерские качества, Лабораторные исследования, Управление анестезией, Коммуникация с владельцами животных, Разработка предложений, Диагностика заболеваний",Ветеринар
"Клиентоориентированность, Креативность, Docker, Участие в мозговых штурмах, Обработка естественного языка (NLP)",Инженер машинного обучения
"Анализ разрывов, Стратегическое планирование, Гибкость мышления, Поддержание документооборота, SQL для анализа данных, Agile-методологии, UML, SWOT-анализ, Оптимизация рабочих процессов, Scrum, Контроль качества, Confluence",Бизнес-аналитик
"Работа с сообществами, Соблюдение конфиденциальности, Подготовка отчетов, Разрешение конфликтов, Консультирование, Координация ресурсов, Контроль качества, Защита интересов клиента, Наставничество, Поддержка пожилых людей, Знание социальных служб",Социальный работник
"Машинное обучение, Гибкость мышления, Анализ данных, Python, Визуализация данных, Развертывание моделей",Data Scientist
"Координация команды, Многозадачность, Санитарные нормы, Кулинарные техники, Приготовление соусов, Контроль затрат, Организация кейтеринга",Повар
"Обеспечение соответствия стандартам, Межсетевые экраны, Работа с SOC, Аудит безопасности, Контроль доступа, Эмоциональный интеллект, Обнаружение вторжений, Анализ уязвимостей, SIEM-системы",Специалист по кибербезопасности
"Airflow, ETL-процессы, Моделирование данных, Организационные навыки, Понимание основ маркетинга",Инженер данных
"Стратегическое планирование, Моделирование бизнес-процессов, Наставничество, Картирование процессов, Confluence, Контроль качества, SQL для анализа данных, Коммуникация с заинтересованными сторонами",Бизнес-аналитик
"Управление запасами, Нарезка овощей, Координация команды, Выпечка, Организация кейтеринга, Подготовка продуктов, Копирайтинг, Гриль",Повар
"Тайм-менеджмент, Соблюдение санитарных норм, Соблюдение правил хранения, Контроль наличия препаратов, Консультации по безрецептурным препаратам, Знание фармакологии",Фармацевт-консультант
"Публичные выступления, Деловая переписка, SketchUp, Консультации клиентов",Архитектор
"Работа в команде, Распределенные вычисления, Финансовая грамотность, Оптимизация моделей, Предобработка данных, AWS, Решение проблем, Машинное обучение, Компьютерное зрение",Инженер машинного обучения
"Управление изменениями, Управление пациентскими страхами, Диагностика заболеваний зубов, Осмотр полости рта, Поддержание документооборота, Навыки продаж, Консультация пациентов, Профилактика заболеваний",Стоматолог
"Основы ETL, Постановка целей, Участие в мозговых штурмах, Power BI, Tableau, SQL, Рассказывание историй через данные, Визуализация данных, Бизнес-анализ, Отслеживание KPI, Excel, Отчетность, Работа под давлением",Аналитик данных
"Навыки деловых переговоров, Нагрузочное тестирование, Стандарты качества, Автоматизированное тестирование, Проектирование тест-кейсов, Фреймворки автоматизации тестирования, Отчетность по багам",Инженер по тестированию ПО
"Консультации по питанию, Использование фитнес-оборудования, Работа в международной среде, Навыки оказания первой помощи",Фитнес-тренер
"Scrum, Работа под давлением, Работа с кросс-функциональными командами, Wireframing, Анализ рынка",Продуктовый менеджер (IT)
"SQL, Визуализация данных, Наставничество, Отслеживание KPI, Поддержание документооборота, Рассказывание историй через данные, Excel, Python",Аналитик данных
"Работа в международной среде, Коммуникация с командами, Мониторинг качества, Контроль за сроками, Контроль выполнения задач, Оценка рисков, Планирование бюджета, Планирование ресурсов, Отслеживание прогресса",Координатор проектов
"Поддержка психического здоровья, Контроль качества, Координация ресурсов, Соблюдение конфиденциальности, Поддержание документооборота, Работа с сообществами, Тайм-менеджмент, Защита интересов клиента, Знание социальных служб",Социальный работник
"Аудит безопасности, Обеспечение безопасности облаков, Управление временем, Linux Security, Risk Assessment",Специалист по кибербезопасности
"Kubernetes, Базовые навыки работы с данными, Jenkins, Prometheus, Helm, Terraform, Linux, Azure, Docker",Инженер DevOps
"Диагностика проблем, Эмоциональный интеллект, Обратная связь сотрудникам, Коммуникация с клиентами, Документирование решений, Установка ПО, Тестирование оборудования, Решение инцидентов, Работа с тикет-системами",Инженер технической поддержки
"Express.js, Деловая переписка, GraphQL, MongoDB",Фулстек-разработчик
"Работа с офисной техникой, Тонкая настройка гиперпараметров, AWS, Компьютерное зрение, Деловая переписка, Python, Обработка естественного языка (NLP)",Инженер машинного обучения
"Python, Организационные навыки, Kubernetes, Коммуникабельность, Django, Финансовая грамотность",Бэкенд-разработчик
"Оценка взаимодействия лекарств, Знание фармакологии, Тайм-менеджмент, Контроль наличия препаратов, Продажа товаров для здоровья, Оформление заказов, Базовые юридические знания, Отпуск рецептурных препаратов, Организационные навыки, Соблюдение санитарных норм",Фармацевт-консультант
"Организационные навыки, Xcode, Самомотивация, CoreData",Мобильный разработчик
"Планирование лечения, Грамотная речь, Мониторинг состояния, Первая помощь",Врач
"Обработка естественного языка (NLP), Управление конфликтами, Нейронные сети, Глубокое обучение, Большие данные",Инженер машинного обучения
"Прототипирование, Дизайн персонажей, Основы анимации, Балансировка игрового процесса, Работа в команде, Игровая механика, Работа с офисной техникой, Искусственный интеллект в играх",Гейм-дизайнер
"Управление заинтересованными сторонами, Планирование проектов, Базовые навыки работы с данными, Бюджетирование, Разрешение конфликтов, Планирование спринтов",Руководитель проектов
"Коммерческая электрика, Установка освещения, Коммуникабельность, Распределение электроэнергии, Тестирование цепей, Электропроводка, Разработка новых идей",Электрик
"Поддержание документооборота, Обратная связь сотрудникам, Установка генераторов, Эмоциональный интеллект, Распределение электроэнергии, Меры безопасности, Коммерческая электрика",Электрик
"MVVM, Swift, Xcode, Flutter, Копирайтинг, Разработка для iOS, Мобильные интерфейсы, Android Studio, Подготовка отчетов, Jetpack Compose",Мобильный разработчик
"Прием заказов, Наставничество, Безопасность пищевых продуктов, Решение проблем, Навыки коммуникации, Разработка новых идей, Сервировка столов, Многозадачность, Работа с POS-системами",Официант
"Грамотная речь, Прогнозирование финансов, Составление аналитических отчетов, Отчетность для руководства, Оценка инвестиционных проектов, Оценка рисков",Финансовый аналитик
"Работа в команде, Публичные выступления, Знание меню, Тайм-менеджмент, Работа с POS-системами, Обслуживание клиентов, Навыки допродажи, Сервировка столов, Эмоциональный интеллект, Многозадачность, Навыки коммуникации",Официант
"Работа с сообществами, Соблюдение конфиденциальности, Защита прав детей, Культурная чувствительность, Базовые юридические знания, Решение проблем",Социальный работник
"Работа с офисной техникой, Работа под давлением, Ответственность, Асфальтирование, Плотницкие работы",Строитель
"Django, Поддержание документооборота, Python, REST API, Обратная связь сотрудникам, Spring Boot, Express.js, Node.js, Микросервисы, Контроль качества",Бэкенд-разработчик
"AWS, Helm, Ansible, Подготовка отчетов, Jenkins, Prometheus, Инфраструктура как код, Kubernetes, Развертывание в облаке, Terraform",Инженер DevOps
"AWS, Ansible, Helm, Инфраструктура как код, Azure, Docker, Linux, CI/CD пайплайны, Умение работать удаленно, Гибкость мышления, Prometheus, Базовые юридические знания, Jenkins",Инженер DevOps
"Проведение презентаций, Масштабируемость, Планирование инфраструктуры, AWS",Системный архитектор
"Каталогизация, Обслуживание пользователей, Архивирование, Многозадачность, Формирование коллекций, Поиск информации, Референсные услуги, Умение работать удаленно, Стандарты метаданных, Информационная грамотность, Управление библиотечными системами, Грамотная речь, Цифровые библиотеки",Библиотекарь
"Навыки продаж, Копирайтинг, JavaScript, Redux, Vue.js",Фронтенд-разработчик
"Управление брендом, Работа под давлением, Маркетинг в социальных сетях, Копирайтинг, Копирайтинг, Маркетинговая стратегия, A/B тестирование, Маркетинговые исследования, SEO, Цифровая реклама, Контент-маркетинг, Сегментация клиентов, Понимание основ маркетинга",Маркетолог
"Распределенные системы, Проектирование систем, Ведение социальных сетей, Масштабируемость, Лидерские качества",Системный архитектор
"Управление воронкой продаж, Ведение клиентской базы, Планирование встреч, Постпродажное сопровождение, Копирайтинг, CRM-системы, Ведение переговоров, Активные продажи, Заключение сделок, Презентация продукта, Работа с возражениями",Менеджер по продажам
"Постановка целей, PyTorch, Предобработка данных, Поддержание документооборота, Машинное обучение, Навыки деловых переговоров, Распределенные вычисления, Компьютерное зрение",Инженер машинного обучения
"Навигационные навыки, Базовые знания механики, Работа под давлением, Решение проблем, Работа с GPS, Планирование маршрута, Дальние поездки, Правила дорожного движения, Экономия топлива, Обслуживание клиентов, Ведение записей, Самомотивация",Водитель
"Ведение социальных сетей, Google Analytics, Когортный анализ, Лидерские качества, Создание отчетов, Понимание основ маркетинга, Работа с JIRA, A/B тестирование, Метрики конверсии, Data Storytelling",Аналитик по продукту
"Python, Машинное обучение, Большие данные, Клиентоориентированность, Тонкая настройка гиперпараметров, TensorFlow, AWS, Глубокое обучение, Нейронные сети",Инженер машинного обучения
"Активные продажи, Деловая переписка, CRM-системы, Презентация продукта, Планирование встреч, Заключение сделок, Холодные звонки, Ведение клиентской базы, Навыки продаж, Поддержание документооборота, Управление воронкой продаж, Ведение переговоров",Менеджер по продажам
"Лидерские качества, Работа в международной среде, Работа с ERP-системами, Финансовое моделирование, Многозадачность, Работа в Excel, Отчетность для руководства",Финансовый аналитик
"PyTorch, Подготовка отчетов, Spark, Pandas, Инженерия признаков, Машинное обучение, Глубокое обучение, Статистика, Numpy, Визуализация данных",Data Scientist
"Креативность, Анализ законодательства, Лидерские качества, Навыки ведения переговоров",Юрист
"Windows Server, Настройка VPN, Настройка фаерволов, Решение проблем, Bash-скрипты, Системы мониторинга, Безопасность сетей, Резервное копирование, Самомотивация, VMware",Системный администратор
"Анализ конкурентов, Тайм-менеджмент, Проведение переговоров, Работа в международной среде, Работа с CRM, Навыки исследования, Построение стратегии выхода на рынок, Навыки продаж",Менеджер по развитию бизнеса
"Оценка кандидатов, Управление HR-системами, Копирайтинг, Организация обучения, Базовые навыки работы с данными, Участие в построении корпоративной культуры, Креативность, Решение конфликтов, Разработка мотивационных программ, Проведение собеседований, Развитие бренда работодателя",HR-специалист
"Деловая переписка, Мониторинг состояния, Планирование лечения, Экстренная помощь, Разработка предложений, Управление изменениями, Осмотр пациента, Базовая хирургия",Врач
"VMware, Настройка VPN, Инструменты автоматизации, Администрирование Linux, Работа под давлением, Резервное копирование, Настройка фаерволов, Windows Server, Системы мониторинга, Клиентоориентированность, Безопасность сетей",Системный администратор
"Управление брендом, Самомотивация, Контроль качества, Маркетинговые исследования",Маркетолог
"Инклюзивное образование, Детская психология, Ораторское искусство, Дистанционное обучение, Отслеживание прогресса, Тайм-менеджмент, Планирование уроков, Разработка учебных программ, Коммуникабельность, Деловая переписка",Учитель
"Системы низкого напряжения, Тестирование цепей, Публичные выступления, Управление конфликтами, Установка освещения, Электротехнические нормы",Электрик
"Понимание основ маркетинга, Реабилитация после операций, Разработка программ реабилитации, Оценка подвижности",Физиотерапевт
"Оценка физической формы, Консультации по питанию, Обучение здоровому образу жизни, Понимание основ маркетинга, Развитие гибкости, Мотивация клиентов, Реабилитационные тренировки, Силовые тренировки, Навыки оказания первой помощи, Персональный тренинг",Фитнес-тренер
"Risk Assessment, Аудит безопасности, SIEM-системы, Обеспечение соответствия стандартам, Контроль доступа, Реагирование на инциденты, Навыки исследования, Работа с офисной техникой, Обеспечение безопасности облаков, Обнаружение вторжений, Penetration Testing",Специалист по кибербезопасности
"Бизнес-анализ, Excel, Работа в команде, Самостоятельность",Аналитик данных
"Распределение электроэнергии, Базовые навыки работы с данными, Поиск и устранение неисправностей, Навыки исследования, Монтаж кабельных каналов, Финансовая грамотность",Электрик
"Тайм-менеджмент, Бюджетирование, Управление денежными потоками, Контроль качества",Бухгалтер
"Соблюдение сроков, Организационные навыки, Проведение лечебной физкультуры, Консультирование пациентов, Проведение физиопроцедур, Разработка программ реабилитации, Работа с ортопедическими проблемами, Управление болью, Работа с травмированными пациентами",Физиотерапевт
"Навыки ведения переговоров, Уголовное право, Контроль качества, Оценка рисков, Корпоративное право, Наставничество, Анализ законодательства",Юрист
"Цифровая реклама, Умение работать удаленно, Маркетинговая стратегия, Контроль качества, Соблюдение сроков",Маркетолог
"Системы аутентификации, Контроль качества, GraphQL",Фулстек-разработчик
"Управление временем, AWS, Хранилища данных, ETL-процессы, Разработка новых идей, Kafka",Инженер данных
"Публичные выступления, Правила дорожного движения, Координация мероприятий, Техническое обслуживание автомобиля, Работа в международной среде, Крепление грузов",Водитель
"Уход за ранами, Работа в команде, Педиатрический уход, Уход за пожилыми людьми, Контроль инфекций, Ведение документации",Медсестра
"Scala, Моделирование данных, Airflow, Apache Spark, Hadoop, Навыки деловых переговоров, ETL-процессы, Kafka",Инженер данных
"Самомотивация, Деловая переписка, Отчетность, Разрешение конфликтов, Scrum Master, Коммуникабельность, Водопадная модель, Agile",Руководитель проектов
"Правила дорожного движения, Знание ПДД, Базовые знания механики, Дальние поездки, Крепление грузов, Лидерские качества",Водитель
"Анализ отчетности, Оценка инвестиционных проектов, Навыки деловых переговоров, Решение проблем, Анализ денежных потоков, Планирование бюджета, Аналитическое мышление",Финансовый аналитик
"Оценка физической формы, Профилактика травм, Мотивация клиентов, Использование фитнес-оборудования, Групповые тренировки, Контроль веса, Развитие гибкости, Подготовка отчетов, Кардионагрузки, Планирование тренировок, Разработка новых идей, Обучение здоровому образу жизни, Соблюдение сроков",Фитнес-тренер
"Обмен ресурсами, Разработка новых идей, Референсные услуги, Обслуживание пользователей, Базовые навыки работы с данными, Управление конфликтами",Библиотекарь
"Монтаж кабельных каналов, Управление временем, Электропроводка, Жилая электрика, Понимание основ маркетинга, Установка генераторов, Коммуникабельность, Управление электродвигателями",Электрик
"Крепление грузов, Ведение записей, Работа с офисной техникой, Знание ПДД, Решение проблем, Правила дорожного движения, Навигационные навыки, Поддержание документооборота, Обслуживание клиентов, Грамотная речь, Работа с GPS, Дальние поездки",Водитель
"Сервировка столов, Ведение социальных сетей, Профессиональный внешний вид, Навыки допродажи, Соблюдение чистоты, Безопасность пищевых продуктов, Тайм-менеджмент, Знание меню",Официант
"Участие в мозговых штурмах, Знание социальных служб, Поддержка пожилых людей, Гибкость мышления, Эмпатия",Социальный работник
"Отчетность, Визуализация данных, Бизнес-анализ, SQL, Основы ETL, Рассказывание историй через данные, Отслеживание KPI, Креативность, Pandas, Статистика, Работа с офисной техникой",Аналитик данных
"Аналитическое мышление, Проверка качества данных, Организационные навыки, Data Validation, Разработка предложений, Тестирование API, Очистка данных, Понимание схем баз данных, Data Profiling, Python, Работа с большими данными",Специалист по качеству данных
"Хранилища данных, BigQuery, Публичные выступления, SQL, Облачное хранение, Airflow",Инженер данных
"Судебные разбирательства, Юридические исследования, Договорное право, Самостоятельность, Регуляторное соответствие, Оценка рисков, Представительство в суде, Навыки ведения переговоров, Трудовое право, Анализ законодательства, Решение проблем, Гражданское право, Финансовая грамотность",Юрист
"Системы мониторинга, Работа в международной среде, Администрирование Linux, Настройка фаерволов, Безопасность сетей, Групповые политики, Windows Server, Виртуализация серверов, Active Directory, Инструменты автоматизации",Системный администратор
"Очистка данных, Бизнес-анализ, Навыки деловых переговоров, Рассказывание историй через данные, Отслеживание KPI, Визуализация данных",Аналитик данных
"Постановка целей, Конструктивные системы, Консультации клиентов, SketchUp, Градостроительство, Планирование участков",Архитектор
"Понимание основ маркетинга, C#, Физические движки, Основы анимации, UX в играх, Балансировка игрового процесса, Дизайн уровней, Прототипирование, Искусственный интеллект в играх, Unreal Engine, Скриптинг",Гейм-дизайнер
"Подготовка к аудиту, QuickBooks, Учет затрат, Деловая переписка, Наставничество, Внутренний контроль, Понимание основ маркетинга, Дебиторская задолженность, Управление заработной платой, Финансовый анализ",Бухгалтер
"Разработка мотивационных программ, Проведение собеседований, Составление вакансий, Навыки коммуникации, Мониторинг рынка труда, Оценка кандидатов, Подбор персонала, Адаптация сотрудников, Организация обучения, Поддержание документооборота, Развитие бренда работодателя",HR-специалист
"HTML, Управление конфликтами, React, Соблюдение сроков, Bootstrap",Фронтенд-разработчик
"Монтаж гипсокартона, Строительная безопасность, Плотницкие работы, Креативность, Бетонные работы, Асфальтирование, Земляные работы",Строитель
"Управление запасами, Кулинарные техники, Креативность, Нарезка овощей, Выпечка, Приготовление соусов, Аналитическое мышление",Повар
"Перемещение материалов, Бетонные работы, Подготовка отчетов, Эксплуатация тяжелой техники, Лидерские качества, Монтаж гипсокартона, Плотницкие работы, Решение проблем",Строитель
"React, MongoDB, CSS, Ответственность, Тайм-менеджмент",Фулстек-разработчик
"Управление объемом работ, Agile, Знание PMBOK, Scrum Master, Разработка предложений, Распределение ресурсов, Планирование проектов, Управление заинтересованными сторонами",Руководитель проектов
"Работа с 2D/3D-графикой, Сетевые функции для игр, Создание уровней, Стратегическое мышление",Разработчик мобильных игр
"Архитектурное проектирование, Дизайн интерьеров, Градостроительство, Ведение социальных сетей, Деловая переписка, Конструктивные системы, Консультации клиентов, Планирование участков, 3D-моделирование, Работа в международной среде",Архитектор
"Проведение презентаций, Земляные работы, Чтение чертежей, Подготовка площадки, Основы сварки, Перемещение материалов, Обучаемость, Навыки продаж, Кровельные работы",Строитель
"Оценка учащихся, Планирование уроков, Креативность, Детская психология",Учитель
"Организационные навыки, Навыки деловых переговоров, Базовые навыки работы с данными, Мониторинг состояния, Выписка рецептов",Врач
"Участие в мозговых штурмах, Обучаемость, Управление временем, Картирование процессов, SWOT-анализ, Wireframing",Бизнес-аналитик
"Разработка предложений, Ортопедическая стоматология, Эстетическая стоматология",Стоматолог
"Pandas, Нейронные сети, Spark, Разработка новых идей, Развертывание моделей, Стратегическое мышление, Инженерия признаков, Python, Numpy, TensorFlow, Машинное обучение, Самомотивация, Анализ данных",Data Scientist
"Навыки продаж, Активные продажи, Понимание основ маркетинга, CRM-системы, Ведение переговоров, Постпродажное сопровождение, Планирование встреч, Управление временем, Заключение сделок, Холодные звонки",Менеджер по продажам
"Планирование тренировок, Разработка предложений, Реабилитационные тренировки, Соблюдение сроков",Фитнес-тренер
"Информационная грамотность, Базовые юридические знания, Лидерские качества, Обслуживание пользователей, Наставничество",Библиотекарь
"Python, SQL, Pandas, Навыки деловых переговоров, Управление конфликтами, Отслеживание KPI",Аналитик данных
"Терапия внутривенных вливаний, Уход за пациентами, Обучаемость, Контроль инфекций, Организационные навыки, Поддержка психического здоровья, Мониторинг жизненных показателей, Эмоциональный интеллект, Ведение документации",Медсестра
"Контроль качества, Земляные работы, Эксплуатация тяжелой техники, Перемещение материалов, Основы сварки, Строительная безопасность",Строитель
"Развитие бренда работодателя, Разработка мотивационных программ, Координация мероприятий, Составление вакансий, Участие в построении корпоративной культуры, Подбор персонала, Управление конфликтами, Управление HR-системами, Базовые навыки работы с данными, Кадровое делопроизводство",HR-специалист
"Учет затрат, Управление денежными потоками, Навыки исследования, Подготовка к аудиту",Бухгалтер
"Прототипирование, Теория цвета, Макетирование, Illustrator, Многозадачность, Публичные выступления, Умение работать удаленно, Дизайн UI/UX, Брендинг",Графический дизайнер
"Анализ анамнеза, Постановка целей, Мониторинг состояния, Клинические исследования, Выписка рецептов, Экстренная помощь, Медицинская этика, Постановка диагноза, Коммуникация с пациентом, Основы радиологии, Управление стационаром",Врач
"Мотивация клиентов, Оценка физической формы, Базовые навыки работы с данными, Работа в команде, Участие в мозговых штурмах, Кардионагрузки",Фитнес-тренер
"Коммуникация с заинтересованными сторонами, Управление конфликтами, Scrum",Продуктовый менеджер (IT)
"Анализ потребностей клиентов, Презентация продукта, Навыки продаж, Установление контакта, Ведение переговоров, Постпродажное сопровождение, Базовые навыки работы с данными, Работа с возражениями, Организационные навыки, Холодные звонки, Самомотивация, Активные продажи",Менеджер по продажам
"Самостоятельность, Тестирование API, Разработка новых идей, Аналитическое мышление, Тестирование ETL-процессов",Специалист по качеству данных
"Заключение сделок, Управление воронкой продаж, Работа с офисной техникой, Навыки продаж, Планирование встреч, Работа с возражениями, Построение долгосрочных отношений, Базовые навыки работы с данными",Менеджер по продажам
